bit_rate,crest_linear,duration_s,dynamic_range_db,ebu_integrated_lufs,ebu_loudness_range_lu,ebu_threshold_lufs,ebu_true_peak_dbtp,entropy,file,flatness_db,flatness_linear,format_name,peak_db,quality_tags,rms_db,size_bytes,spectral_centroid,spectral_flatness,spectral_mean,zero_crossings
256511,7.8442,89.547755,170.768997,-15.2,12.3,-26.0,0.2,0.827833,A01-format-mp3.mp3,0.0,1.0,mp3,0.158901,harsh|gritty/noisy,-18.090251,2871254,6862.14,0.429556,5.49939e-06,328019.0
1411263,7.462528,157.361633,96.316069,-14.9,5.1,-25.0,1.0,0.845881,A02-format-wav.wav,0.0,1.0,wav,-0.013264,bright|gritty/noisy,-17.517473,27759842,3117.2,0.193571,3.7226e-05,451350.0
256456,5.884974,125.352925,173.937138,-13.6,10.2,-24.0,-0.2,0.86864,B01-bpm-90-slow.mp3,0.0,1.0,mp3,-0.184131,harsh|gritty/noisy,-16.064986,4018444,6564.79,0.458248,5.2104e-06,267221.0
256521,5.983831,91.788481,159.116649,-13.6,7.8,-23.8,0.3,0.869832,B02-bpm-120-mid.mp3,0.0,1.0,mp3,0.249241,neutral|gritty/noisy,-15.721704,2943215,2076.52,0.163821,1.91383e-05,154630.0
256406,7.205769,171.456145,164.92522,-14.5,3.5,-24.6,0.3,0.858297,B03-bpm-165-fast.mp3,0.0,1.0,mp3,0.352668,warm|textured,-17.217439,5495315,983.786,0.14184,2.42553e-06,598137.0
256446,8.363026,135.407166,165.918647,-14.0,5.8,-24.1,0.1,0.854019,C01-full-album-brief-short.mp3,0.0,1.0,mp3,0.107903,bright|gritty/noisy,-16.679674,4340594,2653.06,0.311502,3.22105e-06,303237.0
256479,7.871074,118.712018,178.725357,-14.5,5.7,-24.8,0.3,0.844667,C02-full-album-brief-long.mp3,0.0,1.0,mp3,0.195691,harsh|gritty/noisy,-17.625776,3805907,10893.1,0.456927,1.3701e-05,565289.0
256556,7.666244,91.149932,153.314484,-14.4,3.5,-24.6,0.1,0.847482,E02-aigc-watermark.mp3,0.0,1.0,mp3,0.089361,harsh|gritty/noisy,-17.809971,2923133,6183.62,0.398894,1.12934e-05,359568.0
256362,8.331635,235.067211,186.935062,-15.5,10.0,-25.9,1.0,0.830658,E03-avoid-element.mp3,0.0,1.0,mp3,0.573185,harsh|gritty/noisy,-18.21497,7532812,9048.93,0.346857,6.38414e-06,555351.0
256463,7.777873,114.021587,164.691602,-15.6,7.3,-26.1,-1.0,0.82165,E04-use-case.mp3,0.0,1.0,mp3,-1.020995,neutral|gritty/noisy,-19.032466,3655292,2270.01,0.307255,3.24155e-06,271481.0
1411318,7.827796,84.578685,96.052465,-15.7,6.4,-25.8,-0.1,0.835405,F01-wav-44100.wav,0.0,1.0,wav,-0.162143,harsh|gritty/noisy,-18.128909,14920930,4068.27,0.292795,1.1663e-05,209792.0
256431,7.09473,151.626304,163.830832,-15.4,5.2,-25.6,-0.0,0.846136,F02-mp3-256k.mp3,0.0,1.0,mp3,-0.041711,harsh|gritty/noisy,-17.476067,4860219,9880.92,0.191888,4.6107e-06,264919.0
128287,6.449157,108.530068,163.51186,-14.9,3.3,-24.9,-0.4,0.848365,F03-mp3-128k.mp3,0.0,1.0,mp3,-0.4189,dark|textured,-17.424111,1740380,451.235,0.102735,1.74212e-06,325435.0
256486,7.468072,121.997642,159.984257,-14.8,6.0,-24.9,0.0,0.852626,G01-pure-indie-rock.mp3,0.0,1.0,mp3,-0.025758,warm|gritty/noisy,-17.088814,3911339,1234.07,0.16824,2.0291e-06,210555.0
256465,7.768528,134.327438,167.157454,-15.1,10.9,-25.5,-0.3,0.839891,G02-pop-punk-grunge.mp3,0.0,1.0,mp3,-0.396293,neutral|gritty/noisy,-17.817188,4306287,1706.95,0.19866,2.05543e-06,344877.0
256430,7.451837,143.743129,176.604039,-16.6,5.8,-26.6,1.7,0.816843,G03-cinematic-orchestral.mp3,0.0,1.0,mp3,0.956874,bright|gritty/noisy,-17.155299,4607518,3176.32,0.281827,5.92766e-06,102107.0
256371,7.052485,235.868299,160.41395,-14.2,5.8,-24.3,0.3,0.851688,L01-lyrics-optimizer.mp3,0.0,1.0,mp3,0.034183,harsh|gritty/noisy,-16.986782,7558751,5321.56,0.393128,4.11373e-06,976335.0
256572,5.900045,88.665397,173.561449,-14.5,5.5,-24.8,-1.0,0.855058,L02-fixed-lyrics.mp3,0.0,1.0,mp3,-1.035949,harsh|gritty/noisy,-16.724819,2843640,5010.62,0.343587,4.36257e-06,175313.0
256387,6.943741,184.679909,170.311386,-13.9,10.7,-24.6,1.0,0.848624,L03-instrumental.mp3,0.0,1.0,mp3,0.608441,bright|gritty/noisy,-16.370424,5918712,2623.98,0.312269,3.11697e-06,299739.0
256449,7.464783,125.643175,176.134128,-15.1,7.4,-25.6,0.1,0.841964,M01-model-music-3.0.mp3,0.0,1.0,mp3,0.061007,dark|clean,-17.590173,4027648,718.549,0.0209477,6.32435e-05,245265.0
256678,5.153908,66.51356,156.103784,-11.2,4.1,-21.3,0.4,0.88338,M02-model-music-2.6.mp3,0.0,1.0,mp3,0.360991,bright|gritty/noisy,-13.636235,2134073,2517.38,0.209902,5.53711e-06,207569.0
